LR(%),Random,HyperNAS-RL,HyperNAS
std,82.8,83.3,83.9
2,78.1,78.6,79.1
5.2,81.4,81.9,82.4
10,83.8,84.1,84.5
20,84.1,84.6,84.9
30,85.1,85.3,85.6
44,85.6,85.9,86.1
