model,branch,ms,fps,mAP
YOLOv5,YOLOv5n,6.3,,28
YOLOv5,YOLOv5s,6.4,,37.4
YOLOv5,YOLOv5m,8.2,,45.4
YOLOv5,YOLOv5l,10.1,,49
YOLOv5,YOLOv5x,12.1,,50.7
YOLOv6,YOLOv6-N,,779,37.5
YOLOv6,YOLOv6-S,,339,45
YOLOv6,YOLOv6-M,,175,47
YOLOv6,YOLOv6-L,,98,26
YOLOv6-6,YOLOv6-N6,,228,44.9
YOLOv6-6,YOLOv6-S6,,98,50.3
YOLOv6-6,YOLOv6-M6,,47,55.2
YOLOv6-6,YOLOv6-L6,,26,57.2
YOLOv7,YOLOv7,,161,51.4
YOLOv7,YOLOv7-X,,114,53.1
YOLOv7,YOLOv7-W6,,84,54.9
YOLOv7,YOLOv7-E6,,56,56
YOLOv7,YOLOv7-D6,,44,56.6
YOLOv7,YOLOv7-E6E,,36,56.8
YOLOv8,YOLOv8n,5.6,,37.3
YOLOv8,YOLOv8s,5.7,,44.9
YOLOv8,YOLOv8m,8.3,,50.2
YOLOv8,YOLOv8l,13.1,,52.9
YOLOv8,YOLOv8x,20.4,,53.9
YOLOv8-seg,YOLOv8n-seg,11.3,,30.7
YOLOv8-seg,YOLOv8s-seg,11.4,,37.0 
YOLOv8-seg,YOLOv8m-seg,15.3,,40.6
YOLOv8-seg,YOLOv8l-seg,16.8,,42.5
YOLOv8-seg,YOLOv8x-seg,23.8,,43.2
